iter	Logloss
0	0.6698600771
1	0.6481756051
2	0.6318188477
3	0.6130035799
4	0.5986652399
5	0.5854785481
6	0.57013607
7	0.5556642018
8	0.5441104954
9	0.5344745669
10	0.522665352
11	0.5121087652
12	0.5022026577
13	0.493192531
14	0.4842497336
15	0.4774959529
16	0.4713101397
17	0.4654620671
18	0.4596154239
19	0.4530057013
20	0.4481031588
21	0.4427729653
22	0.4383247913
23	0.4340046667
24	0.4294692895
25	0.4255067344
26	0.42219051
27	0.4189281991
28	0.4162986101
29	0.4122565592
30	0.4093367053
31	0.4061291621
32	0.4036244431
33	0.4010805094
34	0.3981074426
35	0.396236966
36	0.3942264936
37	0.3915548354
38	0.3896900671
39	0.3880175628
40	0.3866280991
41	0.3844918495
42	0.3830719844
43	0.3815317356
44	0.3801273887
45	0.3786615242
46	0.3774962723
47	0.3764938641
48	0.3747403302
49	0.373493401
50	0.3724635861
51	0.3716431929
52	0.3708446455
53	0.3698878749
54	0.3692176999
55	0.3686135255
56	0.3680274835
57	0.3674459593
58	0.3666318305
59	0.365188374
60	0.3643717403
61	0.3632433614
62	0.3626013378
63	0.3620445096
64	0.3616078423
65	0.3603784949
66	0.3597611844
67	0.359277463
68	0.3584949824
69	0.3581224317
70	0.3577740119
71	0.3571735786
72	0.3567279718
73	0.3558225075
74	0.3552130462
75	0.3547291363
76	0.3542335492
77	0.3536727866
78	0.352988055
79	0.3526296279
80	0.3520969517
81	0.3517020788
82	0.3510464855
83	0.3507309138
84	0.3503021531
85	0.349964562
86	0.3495832683
87	0.3492393548
88	0.3490595985
89	0.348394804
90	0.3481011745
91	0.347381697
92	0.3470100034
93	0.3468244847
94	0.3465396552
95	0.3462023389
96	0.3455873679
97	0.3453948153
98	0.3450175346
99	0.3447598712
100	0.3441183714
101	0.3438345498
102	0.3435375455
103	0.3432931276
104	0.3428763497
105	0.3425869543
106	0.3420874482
107	0.341732511
108	0.3415272959
109	0.3413479192
110	0.341127329
111	0.3409272321
112	0.340659421
113	0.3404682039
114	0.3401883605
115	0.3399938548
116	0.3396487787
117	0.3394704047
